Code,Name
AUS,Australia
BEL,Belgium
CAN,Canada
CHN,China
CZE,Czech Republic
DNK,Denmark
FIN,Finland
FRA,France
DEU,Germany
HKG,HongKong
IND,India
ISR,Israel
ITA,Italy
JPN,Japan
KOR,Korea
MEX,Mexico
NLD,Netherlands
NZL,New Zealand
NOR,Norway
POL,Poland
PRT,Portugal
ROU,Romania
RUS,Russia
SAU,Saudi Arabia
SGP,Singapore
ESP,Spain
SWE,Sweden
CHE,Switzerland
TWN,Taiwan
TUN,Tunisia
TUR,Türkiye
GBR,United Kingdom
USA,United States 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
